listing_id,host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit (% of price),cleaning_fee (% of price),minimum_nights,cancellation_policy
28018739,f,Central Highlands,Bungalow,Entire home/apt,8,2,5,5,Real Bed,$320.00 ,0.00%,0.00%,1,moderate
28018891,f,Break O'Day,House,Entire home/apt,4,1,2,3,Real Bed,$300.00 ,0.00%,0.00%,1,strict_14_with_grace_period
28032440,f,Clarence,House,Entire home/apt,4,1,2,2,Real Bed,$105.00 ,0.00%,47.62%,1,flexible
28035009,f,Huon Valley,Cottage,Entire home/apt,2,1,0,1,Real Bed,$200.00 ,0.00%,25.00%,2,moderate
28035787,f,Glamorgan/Spring Bay,Guest suite,Entire home/apt,3,1,0,2,Real Bed,$145.00 ,0.00%,0.00%,1,flexible
28037000,f,Hobart,House,Entire home/apt,6,2,3,4,Real Bed,$180.00 ,111.11%,50.00%,2,moderate
28037306,f,West Coast,Vacation home,Entire home/apt,6,0.5,3,4,Real Bed,$185.00 ,0.00%,0.00%,2,flexible
28038995,f,Hobart,Apartment,Entire home/apt,2,1,1,1,Real Bed,$65.00 ,0.00%,0.00%,1,flexible
28050276,t,Launceston,Cottage,Entire home/apt,6,2,2,4,Real Bed,$160.00 ,125.00%,37.50%,1,strict_14_with_grace_period
28054273,f,West Coast,Apartment,Entire home/apt,4,1,2,3,Real Bed,$125.00 ,0.00%,0.00%,1,flexible
28056063,t,Kentish,Farm stay,Private room,2,1,1,1,Real Bed,$50.00 ,0.00%,0.00%,1,strict_14_with_grace_period
28059000,f,Hobart,House,Private room,2,2,1,1,Real Bed,$34.00 ,0.00%,0.00%,35,flexible
28059236,f,Sorell,House,Private room,7,1,1,1,Real Bed,$140.00 ,0.00%,20.71%,1,flexible
28059965,f,Break O'Day,Campsite,Entire home/apt,16,1,0,50,Real Bed,$30.00 ,0.00%,0.00%,1,flexible
28060021,f,Break O'Day,Campsite,Entire home/apt,16,1,0,50,Real Bed,$30.00 ,0.00%,0.00%,1,flexible
28060091,f,Break O'Day,Campsite,Entire home/apt,16,1,0,50,Real Bed,$30.00 ,0.00%,0.00%,1,flexible
28060456,t,Latrobe,House,Entire home/apt,6,1,2,3,Real Bed,$160.00 ,0.00%,0.00%,2,flexible
28080505,f,Hobart,House,Entire home/apt,4,1.5,2,2,Real Bed,$225.00 ,111.11%,66.67%,3,moderate
28081751,f,Clarence,Apartment,Entire home/apt,4,1,2,2,Real Bed,$129.00 ,116.28%,54.26%,3,strict_14_with_grace_period
28084470,f,Waratah/Wynyard,Apartment,Entire home/apt,4,1,1,3,Real Bed,$196.00 ,0.00%,0.00%,1,flexible
28088338,f,Huon Valley,Guest suite,Entire home/apt,2,1,1,1,Real Bed,$80.00 ,312.50%,75.00%,2,flexible
28089589,f,Hobart,Townhouse,Entire home/apt,6,1,2,3,Real Bed,$251.00 ,0.00%,13.94%,2,flexible
28105872,f,Clarence,Townhouse,Entire home/apt,4,1,2,2,Real Bed,$120.00 ,125.00%,0.00%,2,moderate
28106809,t,Huon Valley,House,Entire home/apt,6,1,2,4,Real Bed,$190.00 ,184.21%,39.47%,2,strict_14_with_grace_period
28116278,t,Kingborough,Guest suite,Entire home/apt,2,1,1,1,Real Bed,$70.00 ,285.71%,35.71%,1,moderate
28117727,t,Derwent Valley,Cottage,Entire home/apt,6,1.5,2,4,Real Bed,$129.00 ,0.00%,38.76%,2,flexible
28118558,t,Kingborough,House,Entire home/apt,6,2,3,4,Real Bed,$149.00 ,335.57%,33.56%,2,moderate
28120448,t,Break O'Day,House,Entire home/apt,6,3,3,3,Real Bed,$375.00 ,106.67%,0.00%,2,strict_14_with_grace_period
28134934,f,Launceston,Apartment,Entire home/apt,6,3.5,3,3,Real Bed,$280.00 ,0.00%,50.00%,2,strict_14_with_grace_period
