,listing_id,host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit (% of price),cleaning_fee (% of price),minimum_nights,cancellation_policy,experience,view,décor_and_amenities,neighborhood_and_access,host,weather_and_amenties,food,overall_avg
78,980988,t,Kingborough,Apartment,Entire home/apt,2,1.0,1,1,Real Bed,$129.00 ,232.56%,0.00%,3,strict_14_with_grace_period,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0
79,983912,f,Clarence,House,Entire home/apt,16,2.0,5,11,Real Bed,$950.00 ,0.00%,20.53%,1,flexible,0.7142857142857143,0.8620689655172413,0.9393939393939394,0.8461538461538461,0.8064516129032258,1.0,0.7142857142857143,1.0
80,1004937,t,Clarence,Guesthouse,Entire home/apt,2,1.0,1,1,Real Bed,$80.00 ,0.00%,0.00%,1,flexible,1.0,1.0,1.0,0.9887640449438202,0.9878048780487805,1.0,0.9452054794520548,0.9828326180257511
81,1019470,t,Hobart,House,Entire home/apt,5,1.5,2,3,Real Bed,$120.00 ,0.00%,50.00%,4,moderate,1.0,1.0,0.9672131147540983,1.0,0.9545454545454546,0.8064516129032258,0.8947368421052632,1.0
82,1024585,t,Launceston,Cottage,Entire home/apt,5,1.0,2,3,Real Bed,$209.00 ,0.00%,40.67%,2,moderate,1.0,1.0,1.0,0.9772727272727273,1.0,1.0,1.0,1.0
83,1030686,f,Dorset,Guest suite,Private room,3,1.0,1,2,Real Bed,$110.00 ,0.00%,0.00%,1,moderate,1.0,1.0,1.0,0.9230769230769231,0.9047619047619048,1.0,1.0,1.0
84,1030755,f,Dorset,Apartment,Entire home/apt,2,1.0,1,1,Real Bed,$129.00 ,0.00%,23.26%,1,flexible,,1.0,1.0,1.0,,,,1.0
85,1030789,f,Dorset,Apartment,Entire home/apt,7,1.0,3,5,Real Bed,$180.00 ,0.00%,33.33%,1,strict_14_with_grace_period,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0
86,1039825,f,Glenorchy,House,Private room,2,1.0,1,1,Real Bed,$59.00 ,0.00%,16.95%,2,moderate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
87,1046145,t,Sorell,Cabin,Entire home/apt,2,1.0,1,2,Real Bed,$125.00 ,200.00%,0.00%,2,strict_14_with_grace_period,0.9545454545454546,1.0,0.96,0.9805825242718447,0.9743589743589743,0.896551724137931,0.9375,0.96875
88,1064872,f,Launceston,House,Entire home/apt,3,1.0,1,2,Real Bed,$230.00 ,130.43%,0.00%,1,moderate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
89,1072816,t,Central Highlands,Farm stay,Entire home/apt,6,2.0,3,4,Real Bed,$399.00 ,0.00%,0.00%,2,moderate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90,1074893,f,Huon Valley,Other,Private room,3,1.0,1,3,Real Bed,$65.00 ,0.00%,23.08%,1,strict_14_with_grace_period,1.0,0.5,1.0,0.5,1.0,,1.0,1.0
91,1090688,f,Hobart,Apartment,Entire home/apt,5,1.0,2,3,Real Bed,$160.00 ,0.00%,18.75%,1,moderate,0.8888888888888888,0.8666666666666667,0.9294117647058824,0.9354838709677419,0.8113207547169812,0.6666666666666666,0.9354838709677419,0.958974358974359
92,1093353,t,Waratah/Wynyard,House,Entire home/apt,6,1.0,3,5,Real Bed,$105.00 ,0.00%,0.00%,2,moderate,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,1.0,1.0
93,1093453,t,Waratah/Wynyard,House,Entire home/apt,4,1.0,2,3,Real Bed,$98.00 ,0.00%,0.00%,2,moderate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
94,1093535,t,Waratah/Wynyard,Bungalow,Entire home/apt,4,1.0,2,3,Real Bed,$105.00 ,0.00%,0.00%,2,moderate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
95,1101352,t,Clarence,Apartment,Entire home/apt,4,1.0,1,1,Real Bed,$118.00 ,423.73%,42.37%,2,strict_14_with_grace_period,1.0,0.9831932773109243,0.9841269841269841,1.0,1.0,0.9215686274509803,1.0,1.0
