reviewer_id,listing_id
149048,14922925
150528,18495104
150639,6338877
151498,15973247
152160,4827220
152671,18126625
152949,17100347
153270,4938164
153372,20291492
153442,19832337
153467,1118645
153714,6484951
153940,9796008
153940,12133987
153940,22063481
154783,2362974
156031,15331224
156284,4060161
156284,5043232
157872,4000503
158382,8872854
158423,6559997
158423,8872854
158642,5838525
158896,4918824
160042,5406408
160952,10207526
161149,25961081
161307,4819850
161432,9466943
162494,18723674
163374,566316
163374,10457798
163374,15739715
164922,22559280
164922,25980679
165261,14952758
165263,2284965
165263,9842018
167104,18432942
167693,5841722
167946,451180
167984,4491644
168014,4740440
168039,13734970
168039,22506812
168508,871057
168764,4903979
168869,4419724
168869,20395772
169360,7602599
169360,15918770
169360,26379616
169893,3364772
169893,13818819
170216,4701995
170216,5854040
170888,6226350
171270,4000503
171314,6562371
171314,15472363
172090,10018494
173793,2097527
173793,4130353
173793,7164209
173793,8637371
174005,162081
174005,3722245
174005,10039626
174005,11123850
175261,12347533
175818,890908
175833,18180262
177075,2437868
177075,17269356
178111,17114508
178168,401176
178200,20596768
178251,18115051
179764,8746829
179933,9601065
181582,5480838
181582,9798297
181582,11977968
182032,2079819
182032,3806193
182602,23491845
183956,4968067
183956,21255433
185278,5968493
185278,12493885
185611,15196520
186511,14952758
186511,25951528
187165,9352874
187541,3806193
187596,4113665
187627,3811781
188596,15422440
188606,9533957
189826,6425569
191147,12119111
193227,9417600
194818,2449557
194818,12344224
194818,21296252
195249,708702
195737,890908
195879,4533115
195963,15822315
196001,6317606
196001,10144312
196001,10504861
196001,21289128
196398,9032049
196398,16654033
196398,18163389
196755,17450979
196936,13103764
197867,2079393
197867,5524943
197871,2090932
198186,15423657
198253,906304
198465,4280952
198928,15277683
199101,9700966
199513,4898307
200031,3706908
200031,14575023
200252,15680277
200252,15835345
200253,4377698
201052,513528
201052,890908
201203,4379987
201509,502865
201509,16381313
201807,7569291
201844,871057
202305,12030181
202452,5712905
202456,1845252
202582,2320681
202868,971545
202890,4607179
203124,5656107
203124,12368110
203619,5515954
203945,38951
203945,753283
203945,14905000
203993,1837395
204033,3276641
204105,5040810
204226,18112048
205117,13804176
205338,15958567
205750,13225525
205750,21174455
205893,5501982
206009,2038583
206679,15423384
207136,13367061
207136,15973247
207553,16546729
207777,451180
208656,11699746
209942,21929209
211088,5800072
211169,9499428
211676,10523023
211930,2678320
212071,421609
212071,12014373
212170,5712905
212984,16112406
214539,11660469
215255,15513800
215545,1439271
216873,16737408
217163,9261048
217962,16325903
217962,17226674
218745,9263970
219025,22893088
219115,13788204
219552,5710324
219552,18113645
219552,22052445
219640,9700971
220152,20561120
220943,6119769
221032,137808
221032,421609
221984,1837395
222117,1976671
222117,2320681
222117,5354978
224366,4632720
224366,8740700
224366,10194856
224918,1285967
224918,16136259
225801,9580567
225801,16546546
226903,6338877
226941,10159263
227862,8597902
228015,1824421
228082,21757437
228823,5354978
229167,7292902
229224,4857407
229999,11262782
230046,421609
230153,88873
230839,11109523
230999,8038547
231746,16055229
231890,13103123
233177,1004937
233481,9201857
233801,15668631
233952,15423384
233952,20936390
234520,4000503
234520,7667882
234806,4598233
234865,16112406
234865,16326425
235154,16257763
235269,2320681
235269,16381313
235291,2467917
235341,3276641
235934,1118645
236429,15668631
237765,451180
238216,23315031
239194,8691577
239194,12835904
239194,16370525
239259,980988
239259,8637371
239259,9281901
239259,14241716
239259,20593494
239259,21531562
239617,7025321
239775,5935335
240899,2431825
241134,25199000
241624,4352285
241834,16112406
241834,18041811
241941,18495495
242744,15122169
244817,7247068
244817,9824858
245310,2165898
246179,3276641
246363,708702
246509,162081
246509,4352285
246956,10815876
246959,2958972
247236,2480017
247236,26110249
247240,18023316
247240,22486035
247303,20612272
247825,18723674
247949,9813118
248217,1779644
248357,1925059
249963,22925791
250121,8872854
251526,15438485
251690,4491644
251827,4358779
251827,6752309
251827,8547311
251890,18180738
252296,4472512
252296,6784168
252357,16470191
253163,921584
253163,5416011
253302,5373779
253302,6766979
253302,13103123
253302,15363428
253302,16651845
253340,2223140
253550,15363428
253746,1600480
253746,21285376
254355,14873467
254355,19098408
254407,28746842
254554,22482197
254830,2678320
254830,9100643
255202,10975711
255302,421609
257054,23631127
257334,5712905
257334,16195749
257626,9578213
258443,9321180
258563,4533115
258597,19108970
258605,1485274
258856,22506037
258935,971545
260002,4130353
260562,18963742
260599,1046145
260599,5710324
260599,8691577
260599,18112048
260599,20459820
260599,21130279
261078,9261048
261531,21128820
262002,14886435
262340,12713144
263255,16207882
263773,2079819
264067,14886435
264384,5040810
264384,15525748
264384,16831263
264384,18738170
264384,22424443
264384,22486035
264565,16484298
265014,5653946
265898,1779644
267906,9287682
268190,7409478
268538,10108831
268767,13225525
269089,708702
269223,16963665
270084,16220543
272110,2084453
272110,4130353
272416,12713144
272468,6484951
273193,11799821
273799,9601065
273948,12344224
274513,10125880
274798,421609
275066,5165746
277316,5740424
277524,2223140
277524,9100643
277719,5729562
277719,8614525
278901,708702
278901,10213155
278901,12326777
278901,21452484
278901,22506812
279955,5948066
280189,17269356
280587,5968493
280973,2142277
281839,15514254
281839,16723094
282267,9189594
282267,18014238
282267,20866718
282873,270374
283589,11780437
283669,13361382
283669,17656770
283669,20054108
283669,20950843
283669,24027157
283669,24784166
283669,28746842
283942,16770830
284411,7080698
284800,137808
284800,4776974
284800,9533415
284821,7080698
284866,9479572
287089,88873
287328,753283
287512,3157742
288377,3325783
288377,21566045
288505,15575354
289105,16606019
289376,88873
289715,4034121
290071,3096468
290163,15438485
290290,14922925
290514,7186034
290895,18999805
291259,16176669
292166,3761668
292166,10271139
292166,21471680
292166,21816514
292579,4485607
292803,1743681
292803,8783425
292913,19846901
292994,2480017
294416,3706908
294592,1382539
294741,4938164
294755,4888412
294755,12326246
294755,13788204
294755,24020196
295058,3536872
295905,2958972
298513,1734662
300875,11420769
301500,8542142
301705,4306161
301705,5423238
301986,15482019
302016,10125880
302099,4609039
302099,17757405
302099,18879198
302109,5309056
302290,4449000
302326,10622572
302814,951788
303087,708702
304565,5405813
304565,10005240
304836,25353272
304870,434116
304897,2165898
304897,4192273
304897,10638017
305776,6317606
307108,4898307
307108,15422801
307185,2165898
307312,22605427
307516,4959766
307516,9434173
307516,9683638
307516,16112022
308095,5854040
309715,6559997
310574,1837395
310574,7902895
310911,21263841
311659,11376590
311959,9830785
311959,11446663
311959,13788204
311959,15212894
311959,16812340
311959,17461655
312013,10504861
312022,2132254
312921,11104939
313429,2578691
313874,21898792
314711,2124018
314832,17226674
316415,708702
317050,12683387
317050,15746640
317050,16826872
317342,16206597
318202,4589567
318900,421609
318900,4034121
318900,17863948
319901,15100601
320019,12092875
320088,38951
320429,7873118
320590,23860056
320811,4280952
320811,9960269
321517,3811781
322227,137808
322227,1516843
322309,3241291
323118,9683638
323505,3571999
324064,4876863
324467,5740424
324497,1365222
324712,706423
324763,3669280
324850,2958972
326773,11376590
326805,12133987
326880,2090932
326880,4819850
327305,15166610
327594,137808
327594,421609
327594,1093453
328584,9618333
329670,15933791
330710,4034121
331405,19108970
331744,19249042
331802,15223765
332826,9354515
333560,4296999
334159,9594342
334345,587844
334345,11376590
334345,18148672
334535,17252718
334569,4609039
335525,10209975
335525,11332795
336070,5040810
336070,16930535
336342,162081
341113,22193383
341265,19846901
341513,4898307
341513,6006473
341618,19415814
341624,88873
342516,9962914
342600,3805401
342600,4819850
