listing_id,f0n,f0p,f1n,f1p,f2n,f2p,f3n,f3p,f4n,f4p,f5n,f5p,f6n,f6p,f7n,f7p
21222189,0.0,0.06372549019607843,0.0024509803921568627,0.17892156862745098,0.0024509803921568627,0.31862745098039214,0.004901960784313725,0.31862745098039214,0.004901960784313725,0.2622549019607843,0.0,0.14950980392156862,0.007352941176470588,0.06372549019607843,0.0,0.09558823529411764
21233521,0.0,0.05405405405405406,0.0,0.24324324324324326,0.0,0.16216216216216217,0.0,0.5675675675675675,0.0,0.2972972972972973,0.0,0.24324324324324326,0.0,0.02702702702702703,0.0,0.05405405405405406
21234553,0.0,0.08860759493670886,0.0,0.25316455696202533,0.0,0.27848101265822783,0.0,0.46835443037974683,0.0,0.4050632911392405,0.0,0.08860759493670886,0.0,0.02531645569620253,0.0,0.06329113924050633
21245251,0.0,0.06818181818181818,0.005681818181818182,0.1534090909090909,0.0,0.23295454545454544,0.005681818181818182,0.3806818181818182,0.0,0.3806818181818182,0.0,0.11363636363636363,0.005681818181818182,0.045454545454545456,0.0,0.03977272727272727
21245537,0.0,0.05755395683453238,0.007194244604316547,0.18705035971223022,0.0,0.09352517985611511,0.007194244604316547,0.30935251798561153,0.014388489208633094,0.302158273381295,0.007194244604316547,0.1366906474820144,0.0,0.03597122302158273,0.0,0.07194244604316546
21246204,0.0,0.037383177570093455,0.0,0.18691588785046728,0.0,0.22429906542056074,0.0,0.3644859813084112,0.0,0.24299065420560748,0.0,0.102803738317757,0.0,0.056074766355140186,0.0,0.028037383177570093
21247859,0.0,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.0,0.2727272727272727,0.0,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.0,0.45454545454545453,0.0,0.0,0.0,0.0
21253905,0.0,0.016129032258064516,0.0,0.25806451612903225,0.0,0.20967741935483872,0.016129032258064516,0.3870967741935484,0.016129032258064516,0.45161290322580644,0.0,0.08064516129032258,0.0,0.06451612903225806,0.0,0.04838709677419355
21255433,0.0,0.034482758620689655,0.0,0.3275862068965517,0.0,0.1206896551724138,0.017241379310344827,0.41379310344827586,0.0,0.3620689655172414,0.0,0.08620689655172414,0.017241379310344827,0.06896551724137931,0.017241379310344827,0.05172413793103448
21256192,0.0,0.024390243902439025,0.04065040650406504,0.18699186991869918,0.024390243902439025,0.14634146341463414,0.032520325203252036,0.3089430894308943,0.06504065040650407,0.2601626016260163,0.032520325203252036,0.06504065040650407,0.024390243902439025,0.024390243902439025,0.016260162601626018,0.032520325203252036
21258525,0.0,0.05555555555555555,0.0,0.2777777777777778,0.0,0.5,0.0,0.5,0.0,0.5555555555555556,0.0,0.1111111111111111,0.0,0.05555555555555555,0.0,0.05555555555555555
21258998,0.0,0.13043478260869565,0.043478260869565216,0.13043478260869565,0.0,0.34782608695652173,0.0,0.21739130434782608,0.0,0.4782608695652174,0.0,0.08695652173913043,0.0,0.0,0.0,0.0
21263841,0.0,0.06666666666666667,0.007407407407407408,0.2222222222222222,0.0,0.21481481481481482,0.014814814814814815,0.42962962962962964,0.0,0.3037037037037037,0.007407407407407408,0.2,0.007407407407407408,0.1111111111111111,0.0,0.06666666666666667
21264826,0.00684931506849315,0.0547945205479452,0.00684931506849315,0.22602739726027396,0.0,0.19863013698630136,0.0136986301369863,0.4315068493150685,0.00684931506849315,0.363013698630137,0.00684931506849315,0.14383561643835616,0.0136986301369863,0.0821917808219178,0.0,0.0273972602739726
21265420,0.0,0.06837606837606838,0.0,0.2564102564102564,0.0,0.23931623931623933,0.0,0.452991452991453,0.008547008547008548,0.358974358974359,0.008547008547008548,0.08547008547008547,0.0,0.03418803418803419,0.0,0.02564102564102564
21266554,0.0,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.6666666666666666,0.0,0.7777777777777778,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0
21267910,0.0,0.031578947368421054,0.0,0.21263157894736842,0.0,0.16421052631578947,0.00631578947368421,0.36,0.0,0.38105263157894737,0.0,0.17684210526315788,0.002105263157894737,0.08,0.0,0.06315789473684211
21280685,0.0,0.05,0.0,0.27,0.01,0.22,0.0,0.31,0.02,0.51,0.0,0.14,0.0,0.1,0.01,0.03
21283588,0.0,0.09941520467836257,0.005847953216374269,0.2046783625730994,0.0,0.21637426900584794,0.017543859649122806,0.29239766081871343,0.011695906432748537,0.3508771929824561,0.0,0.15204678362573099,0.011695906432748537,0.12280701754385964,0.0,0.07602339181286549
21284623,0.0,0.061224489795918366,0.0,0.1836734693877551,0.0,0.20408163265306123,0.0,0.2653061224489796,0.0,0.30612244897959184,0.0,0.1836734693877551,0.0,0.10204081632653061,0.0,0.02040816326530612
21285376,0.0,0.02242152466367713,0.013452914798206279,0.17937219730941703,0.0,0.07623318385650224,0.008968609865470852,0.4439461883408072,0.004484304932735426,0.4125560538116592,0.0,0.13901345291479822,0.004484304932735426,0.04484304932735426,0.0,0.017937219730941704
21289128,0.0,0.047619047619047616,0.0,0.16666666666666666,0.004761904761904762,0.11904761904761904,0.009523809523809525,0.3142857142857143,0.004761904761904762,0.3476190476190476,0.0,0.23333333333333334,0.0,0.0380952380952381,0.0,0.06190476190476191
21294970,0.0,0.1875,0.0,0.0625,0.0,0.1875,0.0,0.3125,0.0,0.25,0.0625,0.0,0.0,0.0,0.0625,0.0
21295582,0.0,0.07792207792207792,0.0,0.19480519480519481,0.0,0.24675324675324675,0.0,0.37662337662337664,0.0,0.23376623376623376,0.0,0.1038961038961039,0.0,0.06493506493506493,0.0,0.11688311688311688
21296252,0.0,0.08536585365853659,0.006097560975609756,0.17682926829268292,0.0,0.27439024390243905,0.0,0.45121951219512196,0.006097560975609756,0.2621951219512195,0.0,0.12195121951219512,0.006097560975609756,0.06707317073170732,0.0,0.07317073170731707
